khuvuc,maquocgia,tenquocgia
Châu Âu,DE,??c
Châu Âu,FR,Pháp
Châu Âu,GB,Anh
Châu Âu,IT,Ý
Châu Âu,ES,Tây Ban Nha
Châu Âu,NL,Hà Lan
Châu Âu,SE,Th?y ?i?n
Châu Âu,NO,Na Uy
Châu Âu,FI,Ph?n Lan
Châu Âu,CH,Th?y S?
Châu Âu,BE,B?
Châu Âu,PL,Ba Lan
Châu Âu,HU,Hungary
Châu Âu,CZ,CH Czech
Châu Âu,IE,Ireland
Châu Âu,AT,Áo
Châu Âu,DK,?an M?ch
Châu Âu,GR,Hy L?p
Châu Úc,AU,Úc
Châu Úc,NZ,New Zealand
B?c M?,US,M?
B?c M?,CA,Canada
Nam M?,BR,Brazil
Nam M?,AR,Argentina
Nam M?,CL,Chile
Nam M?,PE,Peru
Nam M?,CO,Colombia
Nam M?,MX,Mexico
