code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
KHH,NTGA,Sân bay qu?c t? Cao Hùng,-17.3506654,-145.5111199,36,,Pacific/Tahiti,AAA,PF,,,,AP
TPE,YARY,Sân bay qu?c t? ?ào Viên ?ài Loan,-26.6967835,141.049092,328,,Australia/Brisbane,AAB,AU,Tanbar,Queensland,Barcoo Shire,AP
TSA,HEAR,Sân bay Tùng S?n ?ài B?c,31.0742836,33.82917152,85,,Africa/Cairo,AAC,EG,Arish,Muhafazat Shamal Sina',,AP
RMQ,HCAD,Sân bay ?ài Trung,6.09628635,46.63770837,980,,Africa/Khartoum,AAD,SO,Adado,,,AP
PUS,DABB,Sân bay qu?c t? Gimhae,36.821392,7.811857,36,,Africa/Algiers,AAE,DZ,El Hadjar,Annaba,,AP
CJJ,KAAF,Sân bay qu?c t? Cheongju,29.7302356,-85.02964472,19,,America/New_York,AAF,US,Apalachicola,Florida,Franklin County,AP
TAE,SSYA,Sân bay qu?c t? Daegu,-24.1037812,-49.78949435,2608,,America/Sao_Paulo,AAG,BR,Jaguariaiva,Parana,Jaguariaiva,AP
KUL,EDKA,,50.75,6.133333,754,https://www.flugplatz-aachen.de,Europe/Berlin,AAH,DE,,,,AP
CJU,SWRA,Sân bay qu?c t? Jeju,-12.916667,-46.933334,2490,,America/Araguaina,AAI,BR,Campos Belos,Goias,Campos Belos,AP
ICN,SMCA,Sân bay qu?c t? Incheon,3.8987445,-55.5779688,278,,America/Paramaribo,AAJ,SR,Kajana,Sipaliwini,Boven Suriname,AP
SYD,NGUK,,0.166667,173.58333,0,,Pacific/Tarawa,AAK,KI,,,,AP
MWX,EKYT,Sân bay qu?c t? Muan,57.0864352,9.868075521,19,http://www.aal.dk,Europe/Copenhagen,AAL,DK,Vadum,North Denmark,Alborg Kommune,AP
GMP,FAMD,Sân bay qu?c t? Gimpo,-24.8,31.533333,1082,,Africa/Johannesburg,AAM,ZA,,,,AP
HNO,OMAL,,24.260231,55.616627,830,,Asia/Dubai,AAN,AE,,,,AP
BKK,SVAN,Sân bay BangKok - Thái Lan,9.4298739,-64.47086335,692,,America/Caracas,AAO,VE,Anaco,Anzoategui,Municipio Anaco,AP
TNN,WALS,Sân bay ?ài Nam,-0.373611,117.255556,154,http://www.proyek.dishubprovkaltim.info/?pro=1,Asia/Jakarta,AAP,ID,,,,AP
YNY,URKA,Sân bay qu?c t? Yangyang,45.00265265,37.34498314,137,http://basel.aero/en/anapa/,Europe/Moscow,AAQ,RU,Anapa,Krasnodarskiy,,AP
HKG,EKAH,Sân bay qu?c t? H?ng Kông,56.30454255,10.61284982,45,http://www.aar.dk/default.asp?id=87,Europe/Copenhagen,AAR,DK,Ebeltoft,Central Jutland,Syddjurs Kommune,AP
AXT,,Sân bay Akita,-3.880849,139.3107061,3005,,Asia/Jayapura,AAS,ID,,,,AP
AOJ,ZWAT,Sân bay Aomori,47.74833705,88.08948249,2408,,Asia/Urumqi,AAT,CN,Awiytan,Xinjiang Uygur Zizhiqu,,AP
FUK,NSAU,Sân bay Fukuoka,-13.458333,-172.6,0,,Pacific/Apia,AAU,WS,Asau,Vaisigano,,AP
